"Trial"	"RiskType"	"RewardType"	"ResponseType"	"Reward"	"Shock"	"SubjID"
12	3	1	1	0.22	1	4
13	3	3	1	0.87	0	4
14	1	2	1	0.45	0	4
15	2	3	1	0.7	0	4
16	1	1	1	0.27	0	4
17	2	2	0	0.4	0	4
18	1	1	1	0.18	0	4
19	1	3	1	0.74	0	4
20	3	2	1	0.52	1	4
21	1	1	1	0.34	0	4
22	3	3	1	0.7	1	4
23	2	2	1	0.65	0	4
24	2	2	0	0.49	1	4
25	2	2	0	0.57	0	4
26	2	1	0	0.22	1	4
27	1	2	1	0.4	1	4
28	2	1	0	0.27	1	4
29	1	3	1	0.88	0	4
30	3	1	1	0.09	1	4
31	3	2	1	0.44	1	4
32	3	3	1	0.95	1	4
33	2	3	1	0.75	1	4
34	2	1	1	0.06	1	4
35	2	3	1	0.83	0	4
36	1	3	1	0.66	0	4
37	3	3	1	0.84	1	4
38	1	3	1	0.93	0	4
39	3	1	0	0.2	1	4
40	3	2	1	0.41	1	4
41	1	2	1	0.59	0	4
42	1	3	1	0.85	0	4
43	3	3	1	0.92	1	4
44	2	3	1	0.8	0	4
45	1	2	1	0.37	0	4
46	1	3	1	0.8	1	4
47	2	2	1	0.62	0	4
48	2	1	0	0.11	1	4
49	3	2	1	0.5	1	4
50	3	2	1	0.63	1	4
51	2	3	1	0.89	0	4
52	1	3	1	0.71	0	4
53	2	1	1	0.19	1	4
54	2	2	1	0.46	0	4
55	3	1	0	0.07	0	4
57	2	3	1	0.67	1	4
58	2	1	0	0.25	0	4
59	3	1	1	0.28	1	4
60	1	1	0	0.32	0	4
61	3	3	1	0.68	1	4
62	1	1	1	0.07	0	4
63	2	2	1	0.54	1	4
64	2	3	1	0.75	1	4
65	1	1	1	0.23	0	4
66	1	2	1	0.5	0	4
67	3	1	1	0.14	1	4
68	2	1	1	0.32	0	4
69	1	2	1	0.45	0	4
70	2	2	1	0.38	1	4
71	3	3	1	0.76	1	4
72	1	1	1	0.16	0	4
73	3	2	1	0.39	1	4
74	2	1	0	0.24	1	4
75	2	3	1	0.86	0	4
76	1	2	1	0.56	0	4
77	3	3	1	0.81	1	4
78	2	3	1	0.94	0	4
79	2	2	0	0.51	1	4
80	3	1	0	0.33	1	4
81	1	2	1	0.42	0	4
82	1	3	1	0.69	0	4
83	2	3	1	0.72	0	4
84	1	1	1	0.12	0	4
85	3	2	1	0.55	1	4
86	1	1	1	0.21	0	4
87	3	2	1	0.47	1	4
89	2	1	0	0.17	1	4
90	1	2	1	0.64	0	4
91	1	1	1	0.05	0	4
92	1	3	1	0.85	0	4
93	1	1	1	0.29	0	4
94	1	3	1	0.77	1	4
95	3	1	0	0.17	1	4
96	2	3	1	0.78	1	4
97	2	2	1	0.43	1	4
98	3	3	1	0.65	1	4
99	3	3	1	0.73	0	4
100	2	1	1	0.3	0	4
101	1	3	1	0.9	0	4
102	3	1	0	0.26	1	4
103	1	2	1	0.48	0	4
104	2	1	1	0.08	0	4
105	3	3	1	0.9	1	4
106	2	2	0	0.6	1	4
107	2	2	1	0.35	0	4
108	3	2	0	0.6	1	4
1	1	2	1	0.53	0	5
2	2	1	1	0.13	0	5
3	2	3	1	0.91	1	5
4	3	1	0	0.15	1	5
5	1	2	1	0.61	0	5
6	3	1	0	0.31	1	5
7	3	3	0	0.79	1	5
8	1	1	1	0.1	0	5
9	3	2	0	0.58	1	5
10	3	2	0	0.36	1	5
11	1	3	1	0.82	0	5
12	3	1	0	0.22	1	5
13	3	3	0	0.87	0	5
14	1	2	1	0.45	0	5
15	2	3	1	0.7	0	5
16	1	1	1	0.27	0	5
17	2	2	1	0.4	0	5
18	1	1	1	0.18	0	5
19	1	3	1	0.74	0	5
20	3	2	0	0.52	1	5
21	1	1	1	0.34	0	5
22	3	3	0	0.7	1	5
23	2	2	1	0.65	0	5
24	2	2	1	0.49	1	5
25	2	2	1	0.57	0	5
26	2	1	0	0.22	1	5
27	1	2	1	0.4	1	5
28	2	1	1	0.27	1	5
29	1	3	1	0.88	0	5
30	3	1	0	0.09	1	5
31	3	2	0	0.44	1	5
32	3	3	0	0.95	1	5
33	2	3	1	0.75	1	5
34	2	1	1	0.06	1	5
35	2	3	1	0.83	0	5
36	1	3	1	0.66	0	5
37	3	3	1	0.84	1	5
38	1	3	1	0.93	0	5
39	3	1	0	0.2	1	5
40	3	2	0	0.41	1	5
41	1	2	1	0.59	0	5
42	1	3	1	0.85	0	5
43	3	3	0	0.92	1	5
44	2	3	1	0.8	0	5
45	1	2	1	0.37	0	5
46	1	3	1	0.8	1	5
47	2	2	1	0.62	0	5
48	2	1	1	0.11	1	5
49	3	2	0	0.5	1	5
50	3	2	0	0.63	1	5
51	2	3	1	0.89	0	5
52	1	3	1	0.71	0	5
53	2	1	1	0.19	1	5
54	2	2	1	0.46	0	5
55	3	1	0	0.07	0	5
56	3	2	0	0.55	1	5
57	2	3	1	0.67	1	5
58	2	1	1	0.25	0	5
59	3	1	0	0.28	1	5
60	1	1	1	0.32	0	5
61	3	3	0	0.68	1	5
62	1	1	1	0.07	0	5
63	2	2	1	0.54	1	5
64	2	3	1	0.75	1	5
65	1	1	1	0.23	0	5
66	1	2	1	0.5	0	5
67	3	1	0	0.14	1	5
68	2	1	0	0.32	0	5
69	1	2	1	0.45	0	5
70	2	2	1	0.38	1	5
71	3	3	1	0.76	1	5
72	1	1	1	0.16	0	5
73	3	2	0	0.39	1	5
74	2	1	1	0.24	1	5
75	2	3	1	0.86	0	5
76	1	2	1	0.56	0	5
77	3	3	0	0.81	1	5
78	2	3	1	0.94	0	5
79	2	2	1	0.51	1	5
80	3	1	0	0.33	1	5
81	1	2	1	0.42	0	5
82	1	3	1	0.69	0	5
83	2	3	1	0.72	0	5
84	1	1	1	0.12	0	5
85	3	2	0	0.55	1	5
86	1	1	1	0.21	0	5
87	3	2	0	0.47	1	5
88	3	1	0	0.12	1	5
89	2	1	1	0.17	1	5
90	1	2	1	0.64	0	5
91	1	1	1	0.05	0	5
92	1	3	1	0.85	0	5
93	1	1	1	0.29	0	5
94	1	3	1	0.77	1	5
95	3	1	0	0.17	1	5
96	2	3	1	0.78	1	5
97	2	2	1	0.43	1	5
98	3	3	0	0.65	1	5
99	3	3	0	0.73	0	5
100	2	1	1	0.3	0	5
101	1	3	1	0.9	0	5
102	3	1	0	0.26	1	5
103	1	2	1	0.48	0	5
104	2	1	1	0.08	0	5
105	3	3	0	0.9	1	5
106	2	2	1	0.6	1	5
107	2	2	1	0.35	0	5
108	3	2	0	0.6	1	5
1	1	2	1	0.53	0	6
2	2	1	0	0.13	0	6
3	2	3	1	0.91	1	6
4	3	1	0	0.15	1	6
5	1	2	1	0.61	0	6
6	3	1	0	0.31	1	6
7	3	3	1	0.79	1	6
8	1	1	1	0.1	0	6
9	3	2	1	0.58	1	6
10	3	2	1	0.36	1	6
11	1	3	1	0.82	0	6
12	3	1	0	0.22	1	6
13	3	3	1	0.87	0	6
14	1	2	1	0.45	0	6
15	2	3	1	0.7	0	6
16	1	1	0	0.27	0	6
17	2	2	1	0.4	0	6
18	1	1	0	0.18	0	6
19	1	3	1	0.74	0	6
20	3	2	0	0.52	1	6
21	1	1	0	0.34	0	6
22	3	3	1	0.7	1	6
23	2	2	1	0.65	0	6
24	2	2	1	0.49	1	6
25	2	2	0	0.57	0	6
26	2	1	1	0.22	1	6
27	1	2	1	0.4	1	6
28	2	1	1	0.27	1	6
29	1	3	1	0.88	0	6
30	3	1	0	0.09	1	6
31	3	2	1	0.44	1	6
32	3	3	1	0.95	1	6
33	2	3	1	0.75	1	6
34	2	1	0	0.06	1	6
35	2	3	1	0.83	0	6
36	1	3	1	0.66	0	6
37	3	3	1	0.84	1	6
38	1	3	1	0.93	0	6
39	3	1	0	0.2	1	6
40	3	2	0	0.41	1	6
41	1	2	1	0.59	0	6
42	1	3	1	0.85	0	6
43	3	3	1	0.92	1	6
44	2	3	1	0.8	0	6
45	1	2	1	0.37	0	6
46	1	3	1	0.8	1	6
47	2	2	1	0.62	0	6
48	2	1	1	0.11	1	6
49	3	2	0	0.5	1	6
50	3	2	1	0.63	1	6
51	2	3	1	0.89	0	6
52	1	3	1	0.71	0	6
53	2	1	1	0.19	1	6
54	2	2	1	0.46	0	6
55	3	1	0	0.07	0	6
56	3	2	1	0.55	1	6
57	2	3	1	0.67	1	6
58	2	1	0	0.25	0	6
59	3	1	0	0.28	1	6
60	1	1	0	0.32	0	6
61	3	3	1	0.68	1	6
62	1	1	1	0.07	0	6
63	2	2	1	0.54	1	6
64	2	3	1	0.75	1	6
65	1	1	0	0.23	0	6
66	1	2	1	0.5	0	6
67	3	1	0	0.14	1	6
68	2	1	0	0.32	0	6
69	1	2	1	0.45	0	6
70	2	2	1	0.38	1	6
71	3	3	1	0.76	1	6
72	1	1	1	0.16	0	6
73	3	2	1	0.39	1	6
74	2	1	1	0.24	1	6
75	2	3	1	0.86	0	6
76	1	2	1	0.56	0	6
77	3	3	0	0.81	1	6
78	2	3	1	0.94	0	6
79	2	2	1	0.51	1	6
80	3	1	0	0.33	1	6
81	1	2	1	0.42	0	6
82	1	3	1	0.69	0	6
83	2	3	1	0.72	0	6
84	1	1	0	0.12	0	6
85	3	2	0	0.55	1	6
86	1	1	1	0.21	0	6
87	3	2	1	0.47	1	6
88	3	1	0	0.12	1	6
89	2	1	0	0.17	1	6
90	1	2	1	0.64	0	6
91	1	1	1	0.05	0	6
92	1	3	1	0.85	0	6
93	1	1	1	0.29	0	6
94	1	3	1	0.77	1	6
95	3	1	0	0.17	1	6
96	2	3	1	0.78	1	6
97	2	2	1	0.43	1	6
98	3	3	1	0.65	1	6
99	3	3	1	0.73	0	6
100	2	1	1	0.3	0	6
101	1	3	1	0.9	0	6
102	3	1	0	0.26	1	6
104	2	1	1	0.08	0	6
105	3	3	1	0.9	1	6
106	2	2	1	0.6	1	6
107	2	2	1	0.35	0	6
108	3	2	1	0.6	1	6
2	2	1	0	0.13	0	7
3	2	3	1	0.91	1	7
4	3	1	0	0.15	1	7
5	1	2	1	0.61	0	7
6	3	1	0	0.31	1	7
7	3	3	0	0.79	1	7
8	1	1	0	0.1	0	7
9	3	2	0	0.58	1	7
10	3	2	0	0.36	1	7
11	1	3	1	0.82	0	7
12	3	1	0	0.22	1	7
13	3	3	1	0.87	0	7
14	1	2	1	0.45	0	7
15	2	3	1	0.7	0	7
16	1	1	1	0.27	0	7
17	2	2	1	0.4	0	7
18	1	1	1	0.18	0	7
19	1	3	1	0.74	0	7
20	3	2	0	0.52	1	7
21	1	1	1	0.34	0	7
22	3	3	0	0.7	1	7
23	2	2	0	0.65	0	7
24	2	2	0	0.49	1	7
25	2	2	1	0.57	0	7
26	2	1	0	0.22	1	7
27	1	2	1	0.4	1	7
28	2	1	0	0.27	1	7
29	1	3	1	0.88	0	7
30	3	1	0	0.09	1	7
31	3	2	0	0.44	1	7
32	3	3	0	0.95	1	7
33	2	3	1	0.75	1	7
34	2	1	0	0.06	1	7
35	2	3	1	0.83	0	7
36	1	3	1	0.66	0	7
37	3	3	1	0.84	1	7
38	1	3	1	0.93	0	7
39	3	1	0	0.2	1	7
40	3	2	0	0.41	1	7
41	1	2	1	0.59	0	7
42	1	3	1	0.85	0	7
43	3	3	1	0.92	1	7
44	2	3	1	0.8	0	7
45	1	2	1	0.37	0	7
46	1	3	1	0.8	1	7
47	2	2	0	0.62	0	7
48	2	1	0	0.11	1	7
49	3	2	0	0.5	1	7
50	3	2	0	0.63	1	7
51	2	3	1	0.89	0	7
52	1	3	1	0.71	0	7
53	2	1	0	0.19	1	7
54	2	2	1	0.46	0	7
55	3	1	0	0.07	0	7
56	3	2	0	0.55	1	7
57	2	3	1	0.67	1	7
58	2	1	0	0.25	0	7
59	3	1	0	0.28	1	7
60	1	1	1	0.32	0	7
61	3	3	1	0.68	1	7
62	1	1	1	0.07	0	7
63	2	2	1	0.54	1	7
64	2	3	1	0.75	1	7
65	1	1	1	0.23	0	7
66	1	2	1	0.5	0	7
67	3	1	0	0.14	1	7
68	2	1	0	0.32	0	7
69	1	2	1	0.45	0	7
70	2	2	1	0.38	1	7
71	3	3	1	0.76	1	7
72	1	1	1	0.16	0	7
73	3	2	0	0.39	1	7
74	2	1	0	0.24	1	7
75	2	3	1	0.86	0	7
76	1	2	1	0.56	0	7
77	3	3	0	0.81	1	7
78	2	3	1	0.94	0	7
79	2	2	1	0.51	1	7
80	3	1	0	0.33	1	7
81	1	2	1	0.42	0	7
82	1	3	1	0.69	0	7
83	2	3	1	0.72	0	7
84	1	1	1	0.12	0	7
85	3	2	0	0.55	1	7
86	1	1	1	0.21	0	7
87	3	2	0	0.47	1	7
88	3	1	0	0.12	1	7
89	2	1	0	0.17	1	7
90	1	2	1	0.64	0	7
91	1	1	1	0.05	0	7
92	1	3	1	0.85	0	7
93	1	1	0	0.29	0	7
94	1	3	1	0.77	1	7
95	3	1	0	0.17	1	7
96	2	3	1	0.78	1	7
97	2	2	1	0.43	1	7
98	3	3	1	0.65	1	7
99	3	3	1	0.73	0	7
100	2	1	0	0.3	0	7
101	1	3	1	0.9	0	7
102	3	1	0	0.26	1	7
103	1	2	1	0.48	0	7
104	2	1	1	0.08	0	7
105	3	3	1	0.9	1	7
106	2	2	1	0.6	1	7
107	2	2	0	0.35	0	7
108	3	2	0	0.6	1	7
1	1	2	1	0.53	0	8
2	2	1	1	0.13	0	8
3	2	3	1	0.91	1	8
4	3	1	0	0.15	1	8
5	1	2	1	0.61	0	8
6	3	1	0	0.31	1	8
7	3	3	0	0.79	1	8
8	1	1	1	0.1	0	8
9	3	2	0	0.58	1	8
10	3	2	0	0.36	1	8
11	1	3	1	0.82	0	8
12	3	1	0	0.22	1	8
13	3	3	0	0.87	0	8
14	1	2	1	0.45	0	8
15	2	3	1	0.7	0	8
16	1	1	1	0.27	0	8
17	2	2	1	0.4	0	8
18	1	1	1	0.18	0	8
19	1	3	1	0.74	0	8
20	3	2	0	0.52	1	8
21	1	1	1	0.34	0	8
22	3	3	0	0.7	1	8
23	2	2	1	0.65	0	8
24	2	2	1	0.49	1	8
25	2	2	1	0.57	0	8
26	2	1	0	0.22	1	8
27	1	2	1	0.4	1	8
28	2	1	1	0.27	1	8
29	1	3	1	0.88	0	8
30	3	1	0	0.09	1	8
31	3	2	0	0.44	1	8
32	3	3	0	0.95	1	8
33	2	3	1	0.75	1	8
34	2	1	1	0.06	1	8
35	2	3	1	0.83	0	8
36	1	3	1	0.66	0	8
37	3	3	0	0.84	1	8
38	1	3	1	0.93	0	8
39	3	1	0	0.2	1	8
40	3	2	0	0.41	1	8
41	1	2	1	0.59	0	8
42	1	3	1	0.85	0	8
43	3	3	0	0.92	1	8
44	2	3	1	0.8	0	8
45	1	2	1	0.37	0	8
46	1	3	1	0.8	1	8
47	2	2	1	0.62	0	8
48	2	1	1	0.11	1	8
49	3	2	0	0.5	1	8
50	3	2	0	0.63	1	8
51	2	3	1	0.89	0	8
52	1	3	1	0.71	0	8
53	2	1	1	0.19	1	8
54	2	2	1	0.46	0	8
55	3	1	0	0.07	0	8
56	3	2	0	0.55	1	8
57	2	3	1	0.67	1	8
58	2	1	1	0.25	0	8
59	3	1	0	0.28	1	8
60	1	1	1	0.32	0	8
61	3	3	0	0.68	1	8
62	1	1	1	0.07	0	8
63	2	2	1	0.54	1	8
64	2	3	1	0.75	1	8
65	1	1	1	0.23	0	8
66	1	2	1	0.5	0	8
67	3	1	0	0.14	1	8
68	2	1	1	0.32	0	8
69	1	2	1	0.45	0	8
70	2	2	1	0.38	1	8
71	3	3	0	0.76	1	8
72	1	1	1	0.16	0	8
73	3	2	0	0.39	1	8
74	2	1	0	0.24	1	8
75	2	3	1	0.86	0	8
76	1	2	1	0.56	0	8
77	3	3	0	0.81	1	8
78	2	3	1	0.94	0	8
79	2	2	1	0.51	1	8
80	3	1	1	0.33	1	8
81	1	2	1	0.42	0	8
82	1	3	1	0.69	0	8
83	2	3	1	0.72	0	8
84	1	1	1	0.12	0	8
85	3	2	0	0.55	1	8
86	1	1	0	0.21	0	8
87	3	2	0	0.47	1	8
88	3	1	0	0.12	1	8
89	2	1	1	0.17	1	8
90	1	2	1	0.64	0	8
91	1	1	1	0.05	0	8
92	1	3	1	0.85	0	8
93	1	1	1	0.29	0	8
94	1	3	1	0.77	1	8
95	3	1	0	0.17	1	8
96	2	3	1	0.78	1	8
97	2	2	1	0.43	1	8
98	3	3	0	0.65	1	8
100	2	1	1	0.3	0	8
101	1	3	1	0.9	0	8
102	3	1	0	0.26	1	8
103	1	2	1	0.48	0	8
104	2	1	1	0.08	0	8
105	3	3	0	0.9	1	8
106	2	2	1	0.6	1	8
107	2	2	1	0.35	0	8
108	3	2	0	0.6	1	8
1	1	2	1	0.53	0	9
2	2	1	0	0.13	0	9
3	2	3	1	0.91	1	9
4	3	1	0	0.15	1	9
5	1	2	0	0.61	0	9
6	3	1	0	0.31	1	9
7	3	3	0	0.79	1	9
8	1	1	0	0.1	0	9
9	3	2	0	0.58	1	9
10	3	2	0	0.36	1	9
11	1	3	1	0.82	0	9
12	3	1	0	0.22	1	9
13	3	3	0	0.87	0	9
14	1	2	0	0.45	0	9
15	2	3	0	0.7	0	9
16	1	1	0	0.27	0	9
17	2	2	1	0.4	0	9
18	1	1	0	0.18	0	9
19	1	3	0	0.74	0	9
20	3	2	0	0.52	1	9
21	1	1	1	0.34	0	9
23	2	2	1	0.65	0	9
